iteration	epoch	batch	time/img	loss_rgb	loss_normal	loss_laplacian	loss_perceptual	loss_uniform	loss_neighbor	loss_total	prop_head0	prop_head1	prop_head2	prop_head3	prop_head4	prop_head5
2000	1	2000	0.010933	0.024396	0.000104	0.000033	0.028065	0.000516	0.000000	0.053115	0.140437	0.164875	0.119063	0.147656	0.223469	0.204500
4000	2	1430	0.011094	0.022572	0.000179	0.000043	0.026409	0.000461	0.000000	0.049665	0.139082	0.156609	0.159915	0.144427	0.213014	0.186953
6000	3	860	0.010981	0.022316	0.000182	0.000049	0.025996	0.000473	0.000000	0.049015	0.128946	0.161400	0.159524	0.142911	0.214843	0.192376
8000	4	290	0.010803	0.022155	0.000178	0.000050	0.025695	0.000464	0.000000	0.048542	0.128134	0.158719	0.163533	0.147920	0.206833	0.194861
10000	4	2290	0.010981	0.019985	0.000185	0.000052	0.024390	0.000427	0.000000	0.045038	0.146844	0.167594	0.160188	0.160531	0.182188	0.182656
12000	5	1720	0.010953	0.019203	0.000187	0.000056	0.023409	0.000419	0.000000	0.043274	0.148311	0.188156	0.169644	0.151460	0.167823	0.174606
14000	6	1150	0.011078	0.018774	0.000186	0.000059	0.022886	0.000408	0.000000	0.042313	0.147638	0.170128	0.167886	0.155945	0.174129	0.184273
16000	7	580	0.011066	0.018397	0.000186	0.000061	0.022587	0.000421	0.000000	0.041651	0.144442	0.173340	0.166792	0.161673	0.177693	0.176060
18000	8	10	0.011022	0.018267	0.000181	0.000061	0.022396	0.000406	0.000000	0.041311	0.151772	0.166901	0.164651	0.167143	0.178967	0.170566
20000	8	2010	0.011168	0.018008	0.000174	0.000062	0.022165	0.000410	0.000000	0.040819	0.153875	0.158219	0.167625	0.166563	0.194188	0.159531
22000	9	1440	0.011097	0.017886	0.000169	0.000061	0.021901	0.000413	0.000000	0.040430	0.153171	0.160861	0.171051	0.173168	0.193080	0.148670
24000	10	870	0.011062	0.017759	0.000169	0.000062	0.021702	0.000423	0.000000	0.040114	0.147974	0.165088	0.175974	0.172942	0.191939	0.146083
